GOLD TO USD SPOT RATE FROM BLOOMBERG,,,,
Date,Open,High,Low,Close
2020-10-16,1908.72,1914.06,1897.93,1899.29
2020-10-15,1901.52,1908.97,1889.71,1908.71
2020-10-14,1891.36,1913,1882.53,1901.52
2020-10-13,1922.77,1925.49,1886.54,1891.36
2020-10-12,1928.5,1933.28,1918.44,1922.77
2020-10-09,1893.81,1930.64,1893.72,1930.4
2020-10-08,1887.51,1900.64,1881.99,1893.82
2020-10-07,1878.18,1898.12,1872.98,1887.42
2020-10-06,1913.53,1921.17,1874.86,1878.18
2020-10-05,1902.18,1918.81,1887.04,1913.53
2020-10-02,1906.01,1917.16,1889.93,1899.84
2020-10-01,1885.78,1912.01,1884.78,1906.01
2020-09-30,1898.07,1902.35,1881.48,1885.82
2020-09-29,1881.48,1899.14,1875.58,1898.07
2020-09-28,1860.95,1883.11,1848.8,1881.48
2020-09-25,1868.08,1875.2,1852.49,1861.58
2020-09-24,1863.32,1877.2,1848.88,1868.07
2020-09-23,1900.21,1905.4,1855.86,1863.34
2020-09-22,1912.51,1920.05,1894.72,1900.21
2020-09-21,1950.93,1955.69,1882.51,1912.51
2020-09-18,1944.43,1960.14,1943.98,1950.86
2020-09-17,1959.2,1960.95,1932.95,1944.44
2020-09-16,1954.15,1973.6,1949.93,1959.26
2020-09-15,1956.92,1972.3,1948.52,1954.15
2020-09-14,1940.64,1962.56,1937.32,1956.86
2020-09-11,1946.09,1954.85,1937.19,1940.55
2020-09-10,1946.84,1966.6,1941.39,1946.09
2020-09-09,1932.04,1950.92,1920.13,1946.84
2020-09-08,1929.93,1940.83,1906.66,1932.03
2020-09-07,1932.08,1941.4,1924.59,1933.64
2020-09-04,1930.9,1947.15,1916.42,1933.94
2020-09-03,1942.97,1951.27,1921.96,1930.91
2020-09-02,1970.18,1973.43,1932.75,1942.92
2020-09-01,1967.8,1992.51,1963.54,1970.18
2020-08-31,1965.26,1976.89,1954.39,1967.8
2020-08-28,1929.54,1973.92,1923.25,1964.83
2020-08-27,1954.45,1976.69,1910.13,1929.54
2020-08-26,1928.19,1954.93,1902.89,1954.46
2020-08-25,1928.88,1937.56,1914.31,1928.18
2020-08-24,1941.27,1961.89,1923.93,1928.88
2020-08-21,1947.26,1955.98,1911.61,1940.48
2020-08-20,1928.98,1955.49,1924.89,1947.26
2020-08-19,2002.44,2006.7,1924.94,1928.98
2020-08-18,1985.3,2015.67,1976.22,2002.44
2020-08-17,1947.29,1990.76,1929.75,1985.3
2020-08-14,1953.71,1962.49,1932.34,1945.12
2020-08-13,1915.83,1966.36,1912.87,1953.71
2020-08-12,1911.89,1949.4,1863.15,1915.83
2020-08-11,2027.34,2029.95,1901.71,1911.89
2020-08-10,2035.66,2049.98,2019.37,2027.34
2020-08-07,2063.54,2075.47,2015.58,2035.55
2020-08-06,2038.12,2069.79,2034.55,2063.54
2020-08-05,2019.21,2055.79,2009.77,2038.12
2020-08-04,1976.99,2019.92,1966.95,2019.21
2020-08-03,1980.52,1988.4,1960.53,1976.98
2020-07-31,1956.64,1983.36,1955.41,1975.86
2020-07-30,1970.82,1971.69,1939.39,1956.64
2020-07-29,1958.43,1980.81,1941.67,1970.79
2020-07-28,1942.24,1981.27,1907,1958.43
2020-07-27,1901.45,1945.72,1899.88,1942.24
2020-07-24,1887.44,1906.58,1881.91,1902.02
2020-07-23,1871.41,1898.34,1863.8,1887.44
2020-07-22,1841.97,1872.17,1841.2,1871.41
2020-07-21,1817.77,1843.47,1815.82,1841.91
2020-07-20,1808.84,1820.53,1805.95,1817.77
2020-07-17,1797.16,1812.03,1795.96,1810.42
2020-07-16,1810.3,1813.48,1794.98,1797.16
2020-07-15,1809.36,1814.92,1802.6,1810.29
2020-07-14,1802.78,1810.89,1790.79,1809.36
2020-07-13,1798.76,1813.59,1798.08,1802.76
2020-07-10,1803.53,1810.72,1794.24,1798.7
2020-07-09,1808.89,1816.15,1795.74,1803.55
2020-07-08,1794.86,1818.02,1791.67,1808.89
2020-07-07,1784.66,1797.39,1773.73,1794.86
2020-07-06,1775.3,1787.12,1770.19,1784.68
2020-07-03,1775.39,1777.36,1772.78,1775.95
2020-07-02,1770.09,1779.71,1757.77,1775.38
2020-07-01,1780.96,1789.28,1759.36,1770.09
2020-06-30,1772.82,1786.16,1764.7,1780.96
2020-06-29,1775.11,1775.17,1765.84,1772.82
2020-06-26,1763.78,1772.14,1747.62,1771.29
2020-06-25,1761.17,1768.88,1755.51,1763.79
2020-06-24,1768.41,1779.53,1760.67,1761.17
2020-06-23,1754.43,1771.14,1747.47,1768.41
2020-06-22,1751.51,1763.38,1742.46,1754.43
2020-06-19,1722.93,1745.26,1721.79,1743.87
2020-06-18,1726.95,1738.15,1717.62,1722.93
2020-06-17,1726.57,1730.22,1713.2,1726.95
2020-06-16,1725.17,1733.07,1716.85,1726.53
2020-06-15,1734.27,1734.33,1704.19,1725.16
2020-06-12,1727.7,1743.22,1722.26,1730.75
2020-06-11,1738.69,1744.73,1721.71,1727.7
2020-06-10,1715.33,1739.76,1708.13,1738.7
2020-06-09,1698.57,1720.97,1692.58,1715.33
2020-06-08,1683.43,1700.6,1677.83,1698.53
2020-06-05,1714.01,1716.39,1670.98,1685.06
2020-06-04,1699.67,1721.54,1697.13,1714.01
2020-06-03,1727.7,1732.34,1689.56,1699.67
2020-06-02,1739.55,1745.4,1721.45,1727.7
2020-06-01,1738.64,1744.69,1727.42,1739.55
2020-05-29,1718.33,1737.89,1712.5,1730.27
2020-05-28,1709.47,1727.65,1707.9,1718.33
2020-05-27,1710.61,1715.73,1694.31,1709.47
2020-05-26,1726.61,1735.67,1709.14,1710.58
2020-05-25,1735.85,1736.77,1721.24,1731.95
2020-05-22,1727,1740.29,1724.45,1734.68
2020-05-21,1748.18,1748.99,1717.02,1727
2020-05-20,1745.05,1754,1742.49,1748.18
2020-05-19,1732.55,1748.13,1726.28,1745.05
2020-05-18,1746.86,1765.43,1727.4,1732.55
2020-05-15,1730.35,1751.69,1728.99,1743.67
2020-05-14,1716.28,1736.55,1711.23,1730.3
2020-05-13,1702.56,1718.53,1699.31,1716.28
2020-05-12,1697.93,1711.21,1693.33,1702.7
2020-05-11,1703.35,1711.7,1691.99,1697.93
2020-05-08,1716.06,1723.13,1699.82,1702.7
2020-05-07,1685.71,1722.07,1676.81,1716.06
2020-05-06,1705.95,1708.41,1682.07,1685.71
2020-05-05,1701.96,1711.83,1690.82,1705.92
2020-05-04,1697.96,1714.67,1691.95,1702.07
2020-05-01,1686.5,1705.86,1670.71,1700.42
2020-04-30,1713.41,1721.68,1681.2,1686.5
2020-04-29,1707.77,1718,1697.94,1713.41
2020-04-28,1713.98,1714.49,1692.59,1707.79
2020-04-27,1728.73,1729.06,1706.3,1713.99
2020-04-24,1730.48,1736.42,1710.79,1729.6
2020-04-23,1714.08,1739.28,1707.36,1730.51
2020-04-22,1686.2,1718.76,1680.45,1714.08
2020-04-21,1695.64,1698.21,1659.55,1686.2
2020-04-20,1679.03,1702.9,1672.27,1695.65
2020-04-17,1717.69,1720.95,1679.94,1682.82
2020-04-16,1717.03,1738.7,1708.37,1717.7
2020-04-15,1726.97,1731.4,1708.29,1717.03
2020-04-14,1715.34,1747.36,1709.18,1726.97
2020-04-13,1688.18,1724.11,1676.03,1715.34
2020-04-10,1684.07,1696.65,1683.25,1696.65
2020-04-09,1646.16,1690.32,1642.08,1683.73
2020-04-08,1647.72,1657.08,1640.9,1646.14
2020-04-07,1660.09,1679.68,1642.92,1647.72
2020-04-06,1620.66,1669.54,1609.35,1660.97
2020-04-03,1613.99,1625.85,1606.98,1620.81
2020-04-02,1591.26,1620.49,1583.19,1613.99
2020-04-01,1577.18,1600.75,1569.07,1591.51
2020-03-31,1622.52,1625.02,1574.73,1577.18
2020-03-30,1638.83,1639.61,1611.93,1622.51
2020-03-27,1630.79,1640.4,1613.7,1628.16
2020-03-26,1617.15,1645.02,1593.15,1631.34
2020-03-25,1632.49,1642.55,1595.13,1616.9
2020-03-24,1553.23,1634.16,1553.17,1632.32
2020-03-23,1500.82,1561.42,1484.35,1553.23
2020-03-20,1471.24,1516.07,1455.06,1498.65
2020-03-19,1486.05,1501.13,1464.3,1471.24
2020-03-18,1528.33,1546.41,1473.04,1486.05
2020-03-17,1514.1,1553.91,1465.83,1528.3
2020-03-16,1571.12,1575.47,1451.55,1514.1
2020-03-13,1576.15,1597.98,1504.78,1529.83
2020-03-12,1635.05,1650.43,1560.87,1576.15
2020-03-11,1649.4,1671.31,1633.13,1635.04
2020-03-10,1680.47,1680.75,1641.75,1649.4
2020-03-09,1694.44,1703.39,1657.71,1680.47
2020-03-06,1672.23,1692.15,1642.73,1673.83
2020-03-05,1636.93,1674.74,1635.07,1672.23
2020-03-04,1640.9,1652.67,1631.96,1636.93
2020-03-03,1589.44,1649.38,1586.67,1640.9
2020-03-02,1592.29,1611.03,1575.41,1589.44
2020-02-28,1645.01,1649.51,1563.07,1585.69
2020-02-27,1640.95,1660.38,1635.33,1645.01
2020-02-26,1635.16,1655,1624.98,1640.96
2020-02-25,1659.38,1664.04,1625.22,1635.14
2020-02-24,1652.2,1689.31,1650.97,1659.38
2020-02-21,1619.56,1649.26,1619.05,1643.41
2020-02-20,1611.7,1623.73,1604.01,1619.56
2020-02-19,1601.61,1612.98,1599.58,1611.7
2020-02-18,1581.18,1605.19,1581.18,1601.61
2020-02-17,1583.81,1583.84,1578.93,1581.13
2020-02-14,1576.01,1585.08,1573.18,1584.06
2020-02-13,1566.06,1578.34,1563.71,1576
2020-02-12,1567.9,1570.52,1561.93,1566.06
2020-02-11,1572.15,1574.09,1562.18,1567.89
2020-02-10,1572.17,1577.05,1568.06,1572.15
2020-02-07,1566.66,1574.13,1560.97,1570.44
2020-02-06,1556.02,1568.31,1552.59,1566.66
2020-02-05,1552.92,1562.45,1547.57,1556.02
2020-02-04,1576.73,1579.65,1549.14,1552.92
2020-02-03,1590.79,1592.11,1569.79,1576.73
2020-01-31,1574.28,1590.57,1570.99,1589.16
2020-01-30,1576.83,1586.01,1572.4,1574.28
2020-01-29,1567.16,1578.03,1563.48,1576.83
2020-01-28,1582.06,1583.1,1565.64,1567.17
2020-01-27,1580.26,1588.68,1575.94,1582.06
2020-01-24,1562.94,1575.83,1556.62,1571.53
2020-01-23,1558.78,1567.97,1552.02,1562.94
2020-01-22,1558.16,1559.3,1550.29,1558.78
2020-01-21,1560.75,1568.67,1546.41,1558.17
2020-01-20,1557.9,1562.77,1556.43,1560.77
2020-01-17,1552.51,1561.31,1549.47,1557.24
2020-01-16,1556.24,1558.13,1548.09,1552.51
2020-01-15,1546.39,1558.2,1546,1556.25
2020-01-14,1547.88,1548.93,1536,1546.39
2020-01-13,1561.14,1561.17,1546.55,1547.88
2020-01-10,1552.33,1563.14,1545.8,1562.34
2020-01-09,1556.42,1561.39,1540.33,1552.32
2020-01-08,1574.37,1611.42,1552.3,1556.42
2020-01-07,1565.74,1577.41,1555.34,1574.37
2020-01-06,1560.84,1588.13,1560.64,1565.74
2020-01-03,1529.13,1553.52,1528.07,1552.2
2020-01-02,1519.15,1531.4,1517.29,1529.13
2020-01-01,1517.27,1518.2,1517.25,1517.29
2019-12-31,1515.15,1525.38,1514.75,1517.27
2019-12-30,1511.52,1516.19,1510.86,1515.16
2019-12-27,1511.53,1515.38,1507.42,1510.56
2019-12-26,1499.74,1512.68,1497.59,1511.53
2019-12-25,1499.82,1499.85,1499.4,1499.84
2019-12-24,1485.79,1500.63,1484.47,1499.41
2019-12-23,1478.59,1486.22,1477.5,1485.79
2019-12-20,1478.8,1481.06,1475.92,1478.22
2019-12-19,1475.4,1481.76,1473.33,1478.8
2019-12-18,1476.22,1479.36,1470.52,1475.4
2019-12-17,1476.18,1480.58,1474.26,1476.22
2019-12-16,1476.01,1479.97,1473.23,1476.18
2019-12-13,1469.8,1478.12,1462.54,1476.33
2019-12-12,1474.9,1486.83,1464.02,1469.8
2019-12-11,1464.39,1478.97,1462.78,1474.88
2019-12-10,1461.68,1469.25,1460.06,1464.39
2019-12-09,1459.7,1465.48,1458.78,1461.68
2019-12-06,1476.01,1479.73,1458.78,1460.17
2019-12-05,1474.6,1480.42,1472.94,1476
2019-12-04,1477.61,1484.09,1471.49,1474.59
2019-12-03,1462.44,1481.86,1459.91,1477.61
2019-12-02,1464.26,1465.43,1454.03,1462.44
2019-11-29,1455.99,1466.62,1453.09,1463.98
