,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-10-19,1117.7825780444136,1094.9272361872136,1162.1664433407102,1117.7825780444136,1117.7825780444136,11.001348619832855,11.001348619832855,11.001348619832855,-8.877093458918209,-8.877093458918209,-8.877093458918209,19.87844207875106,19.87844207875106,19.87844207875106,0.0,0.0,0.0,1128.7839266642466
1,2015-10-20,1118.464569219085,1096.3161587084162,1162.010821076548,1118.464569219085,1118.464569219085,10.666660322634588,10.666660322634588,10.666660322634588,-9.46741629907953,-9.46741629907953,-9.46741629907953,20.134076621714115,20.134076621714115,20.134076621714115,0.0,0.0,0.0,1129.1312295417197
2,2015-10-21,1119.1465603937568,1099.0292954478462,1162.2072654362219,1119.1465603937568,1119.1465603937568,10.721549642199532,10.721549642199532,10.721549642199532,-9.48754681436482,-9.48754681436482,-9.48754681436482,20.209096456564353,20.209096456564353,20.209096456564353,0.0,0.0,0.0,1129.8681100359563
3,2015-10-22,1119.828551568428,1099.6585873631302,1162.59189891873,1119.828551568428,1119.828551568428,10.863820996886568,10.863820996886568,10.863820996886568,-9.213960470872742,-9.213960470872742,-9.213960470872742,20.07778146775931,20.07778146775931,20.07778146775931,0.0,0.0,0.0,1130.6923725653146
4,2015-10-23,1120.5105427430997,1095.8207545609046,1161.444037060522,1120.5105427430997,1120.5105427430997,11.385378010818817,11.385378010818817,11.385378010818817,-8.333847159705437,-8.333847159705437,-8.333847159705437,19.719225170524254,19.719225170524254,19.719225170524254,0.0,0.0,0.0,1131.8959207539185
5,2015-10-26,1122.5565162671141,1100.219487540109,1161.2944701312445,1122.5565162671141,1122.5565162671141,8.272437718394928,8.272437718394928,8.272437718394928,-8.877093458893217,-8.877093458893217,-8.877093458893217,17.149531177288143,17.149531177288143,17.149531177288143,0.0,0.0,0.0,1130.828953985509
6,2015-10-27,1123.2385074417857,1095.839943557007,1159.3837165960078,1123.2385074417857,1123.2385074417857,6.311053691959742,6.311053691959742,6.311053691959742,-9.467416299071237,-9.467416299071237,-9.467416299071237,15.77846999103098,15.77846999103098,15.77846999103098,0.0,0.0,0.0,1129.5495611337456
7,2015-10-28,1123.920498616457,1097.7232313099332,1159.309554467913,1123.920498616457,1123.920498616457,4.667715298433533,4.667715298433533,4.667715298433533,-9.487546814364526,-9.487546814364526,-9.487546814364526,14.15526211279806,14.15526211279806,14.15526211279806,0.0,0.0,0.0,1128.5882139148905
8,2015-10-29,1124.6024897911288,1098.0165752972675,1160.4045517026693,1124.6024897911288,1124.6024897911288,3.0765593976037118,3.0765593976037118,3.0765593976037118,-9.213960470868377,-9.213960470868377,-9.213960470868377,12.29051986847209,12.29051986847209,12.29051986847209,0.0,0.0,0.0,1127.6790491887325
9,2015-10-30,1125.2844809658002,1093.1724396823297,1156.7803125320447,1125.2844809658002,1125.2844809658002,1.865522860045724,1.865522860045724,1.865522860045724,-8.333847159752443,-8.333847159752443,-8.333847159752443,10.199370019798167,10.199370019798167,10.199370019798167,0.0,0.0,0.0,1127.150003825846
